Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61245;02/07/2026;02/07/2026 12:47:02;;0;13070;2483;;;25000;;;;9447;0;;;;0;35;9447;0;
2;33;Del Giro;85896100-9;SERVICIOS EQUIFAX CHILE LIMITADA;4166992;02/07/2026;02/07/2026 13:41:24;;0;23521;4469;;;27990;;;;;0;;;;0;;;;
3;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61262;02/07/2026;02/07/2026 19:10:23;;0;330634;62821;;;500000;;;;;0;;;;0;28;106545;0;
4;33;Del Giro;78331944-6;COMERCIALIZADORA Y SERVICIOS DEL MAULE SPA;79;03/07/2026;03/07/2026 15:36:18;;0;1090000;207100;;;1297100;;;;;0;;;;0;;;;
5;33;Del Giro;79615590-6;ROSSELOT Y FIGUEROA LIMITADA;292420;03/07/2026;03/07/2026 16:20:58;;0;337815;64185;;;402000;;;;;0;;;;0;;;;
6;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;93441;04/07/2026;04/07/2026 16:19:10;;0;42382;8053;;;77509;;;;27074;0;;;;0;35;27074;0;
7;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;93458;05/07/2026;05/07/2026 10:28:17;;0;399988;75998;;;609717;;;;;0;;;;0;28;133731;0;
8;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;93486;06/07/2026;06/07/2026 05:19:08;;0;36350;6907;;;55410;;;;;0;;;;0;28;12153;0;
9;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61377;07/07/2026;07/07/2026 07:18:29;;0;330634;62821;;;500000;;;;;0;;;;0;28;106545;0;
10;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61389;07/07/2026;07/07/2026 13:00:08;;0;26050;4950;;;31000;;;;;0;;;;0;;;;
11;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61390;07/07/2026;07/07/2026 13:00:43;;0;66480;12631;;;120565;;;;41454;0;;;;0;35;41454;0;
12;33;Del Giro;93737000-8;GTD MANQUEHUE S.A.;3085520;05/07/2026;07/07/2026 19:44:42;;0;45055;8561;;;53616;;;;;0;;;;0;;;;
13;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61436;08/07/2026;08/07/2026 19:02:08;;0;88279;16773;;;133500;;;;;0;;;;0;28;28448;0;
14;33;Del Giro;77215640-5;ADMINISTRADORA DE VENTAS AL DETALLE LTDA;23851591;09/07/2026;09/07/2026 07:00:56;;0;45515;8648;;;75160;;;;20997;0;;;;0;35;20997;0;
15;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61462;09/07/2026;09/07/2026 14:00:12;;0;277271;52682;;;366500;;;;;0;;;;0;28;36547;0;
16;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;93725;09/07/2026;09/07/2026 16:28:33;;0;42950;8160;;;72738;;;;21628;0;;;;0;35;21628;0;
17;33;Del Giro;76166816-1;Autopista Vespucio Norte;5190428;09/07/2026;10/07/2026 13:28:05;;17632;1866;355;;;19853;;;;;0;;;;0;;;;
18;33;Del Giro;97080000-K;BANCO BICE;3824142;06/07/2026;10/07/2026 16:12:13;;0;2317;440;;;2757;;;;;0;;;;0;;;;
19;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;93891;12/07/2026;12/07/2026 16:37:08;;0;407541;77433;;;540685;;;;;0;;;;0;28;55711;0;
20;33;Del Giro;77225200-5;ARRENDADORA DE VEHICULOS SOCIEDAD ANONIMA;554509;12/07/2026;12/07/2026 16:46:27;;0;175078;33265;;;208343;;;;;0;;;;0;;;;
21;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;93902;13/07/2026;13/07/2026 05:28:08;;0;41672;7918;;;55287;;;;;0;;;;0;28;5697;0;
22;33;Del Giro;76124890-1;Telefónica Móviles Chile S.A.;73614934;12/07/2026;13/07/2026 06:48:40;;0;286037;54347;;;340384;;;;;0;;;;0;;;;
23;33;Del Giro;78045980-8;Ferreteria Industrial Talca Limitada;319173;13/07/2026;13/07/2026 15:20:33;;0;178569;33928;;;212497;;;;;0;;;;0;;;;
